id,fa,mo,sex
100,,,1
200,,,2
300,,,2
400,,,2
600,,,2
700,,,2
800,,,2
1000,,,2
1100,,,1
1200,,,2
1300,,,2
1400,,,2
1500,,,2
1600,,,2
1700,,,2
1800,,,2
1900,,,2
2000,,,2
2100,,,2
2200,,,2
2300,,,1
2400,,,2
2500,,,2
2600,,,1
2700,,,1
2800,,,1
2900,,,2
3100,,,2
3200,,,2
3300,,,1
3400,,,1
3600,,,2
3700,,,1
3800,,,2
3900,,,2
4000,,,2
4100,,,1
4200,,,1
4400,,,2
4500,,,2
4600,,,1
4700,,,2
4800,,,1
4900,,,1
5000,,,1
5100,,,1
5300,,,1
5400,,,2
5500,,,2
5600,,,2
5700,,,2
5800,,,2
5900,,,2
6000,,,1
6100,,,2
6200,,,2
6400,,,2
6500,,,2
6600,,,1
6700,,,1
6800,,,2
6900,,,2
7000,,,1
7400,,,2
7500,,,2
7600,,,1
7700,,,1
7800,,,1
7900,,,2
8100,,,1
8200,,,1
8300,,,1
8400,,,1
8500,,,1
8600,,,1
8700,,,1
8800,,,1
8900,,,1
9000,,,1
9100,,,1
9200,,,1
9300,,,1
9400,,,2
9500,,,1
9600,,,1
9700,,,1
9800,,,1
9900,,,1
10000,,,1
10100,,,1
10300,,,1
10500,,,1
10700,,,1
10800,,,1
11000,,,2
11100,,,1
11200,,,1
11300,,,1
11400,,,1
11500,,,1
11600,,,1
11700,,,1
11800,,,2
11900,,,1
12000,,,1
12100,,,1
12200,,,2
12300,,,2
12400,,,1
12500,,,2
12800,,,1
13000,,,2
13100,,,2
13400,,,2
13500,,,2
13600,,,1
13700,,,2
13800,,,1
14000,,,2
14100,,,2
14200,,,1
14500,,,1
14600,,,1
14700,,,1
14800,,,1
14900,,,1
15000,,,1
15100,,,1
15200,,,2
15300,,,1
15400,,,1
15600,,,2
15700,,,1
15800,,,2
15900,,,2
16000,,,2
16100,,,2
16200,,,2
16400,,,1
16500,,,2
16700,,,2
16800,,,1
16900,,,2
17000,,,1
17100,,,2
17200,,,2
17300,,,2
17400,,,2
17500,,,2
17600,,,2
17700,,,2
17800,,,2
17900,,,1
18000,,,2
18100,,,1
18200,,,2
18300,,,2
18400,,,1
18500,,,2
18600,,,1
18700,,,2
18800,,,2
18900,,,2
19000,,,2
19100,,,1
19200,,,1
19300,,,2
19400,,,1
19500,,,2
19600,,,1
19700,,,1
19800,,,2
19900,,,1
20000,,,2
20100,,,1
20200,,,2
20400,,,2
20700,,,2
21000,,,2
21200,,,2
21400,,,2
21500,,,2
21800,,,2
22100,,,2
22200,,,2
23500,,,1
23600,,,2
23700,,,2
23800,,,1
24000,,,2
24200,,,2
24300,,,2
24400,,,1
24500,,,2
24600,,,2
24700,,,1
24800,,,2
24900,,,1
25000,,,2
25100,,,2
25200,,,2
25300,,,1
25400,,,2
25500,,,2
25600,,,2
25700,,,2
25900,,,1
92500,,,2
2000100,,,2
2000200,,,1
2000300,,,1
2000400,,,1
2000500,,,2
2000700,,,1
2000800,2000821,2000820,1
2000820,,,2
2000821,,,1
2000861,2000899,2000820,1
2000899,,,1
2000900,2000921,2000920,1
2000920,,,2
2000921,,,1
2000960,2000999,2000920,2
2000999,,,1
2001000,2001021,2001020,2
2001001,2001021,2001020,2
2001020,,,2
2001021,,,1
2001100,,,2
2001200,,,2
2001300,,,1
2001400,,,1
2001500,,,1
2001700,,,2
2001800,,,1
2001900,,,2
2002000,,,2
2002100,,,2
2002200,,,2
2002300,,,2
2002400,,,1
2002500,,,2
2002600,,,2
2002700,2002721,2002720,2
2002702,2002721,2002720,1
2002720,,,2
2002721,,,1
2002800,,,1
2002900,2002921,2002920,1
2002903,2002921,2002920,2
2002920,,,2
2002921,,,1
2003000,,,2
2003100,,,1
2003200,,,1
2003300,,,2
2003400,,,1
2003500,,,1
2003600,,,1
2003700,,,1
2003800,,,2
2003900,,,1
2004000,,,1
2004100,,,2
2004200,,,1
2004300,2004321,2004320,1
2004320,,,2
2004321,,,1
2004400,,,1
2004500,,,2
2004600,,,1
2004700,,,1
2004800,,,1
2004900,,,1
2005000,,,2
2005100,2005121,2005120,1
2005120,,,2
2005121,,,1
2005200,,,1
2005300,2005321,2005320,1
2005301,2005321,2005320,2
2005320,,,2
2005321,,,1
2005500,,,1
2005600,,,1
2005700,,,2
2005800,2005821,2005820,2
2005802,2005821,2005820,2
2005820,,,2
2005821,,,1
2005900,,,2
2006000,,,2
2006100,2006121,2006120,1
2006103,2006121,2006120,2
2006120,,,2
2006121,,,1
2006300,,,1
2006500,2006521,2006520,1
2006520,,,2
2006521,,,1
2006600,2006621,2006620,1
2006601,2006621,2006620,2
2006620,,,2
2006621,,,1
2006700,2006721,2006720,1
2006720,,,2
2006721,,,1
2006800,2006821,2006820,1
2006820,,,2
2006821,,,1
2006900,2006921,2006920,1
2006920,,,2
2006921,,,1
2007100,2007121,2007120,2
2007120,,,2
2007121,,,1
2007200,,,1
2007300,2007321,2007320,2
2007320,,,2
2007321,,,1
2007400,,,1
2007500,2007521,2007520,1
2007520,,,2
2007521,,,1
2007600,,,1
2007700,2007721,2007720,2
2007705,2007721,2007720,2
2007720,,,2
2007721,,,1
2007800,2007821,2007820,1
2007820,,,2
2007821,,,1
2007861,2007899,2007820,2
2007899,,,1
2007900,2007921,2007920,2
2007920,,,2
2007921,,,1
2008200,2008221,2008220,2
2008220,,,2
2008221,,,1
2008300,,,1
2008400,2008421,2008420,1
2008401,2008421,2008420,2
2008420,,,2
2008421,,,1
2008500,,,1
2008700,,,1
2008800,,,2
2008900,,,2
2009000,,,1
2009200,,,1
2009300,,,2
2009400,,,2
2009500,,,2
2009600,,,1
2009700,,,1
2009801,2009821,2009820,1
2009820,,,2
2009821,,,1
2009900,,,2
2010000,,,1
2010100,,,1
2010200,,,1
2010400,2010421,2010420,2
2010401,2010421,2010420,2
2010420,,,2
2010421,,,1
2010500,,,2
2010700,,,2
2010800,,,1
2010900,2010921,2010920,2
2010901,2010921,2010920,2
2010920,,,2
2010921,,,1
2011000,,,1
2011100,,,2
2011200,,,2
2011301,2011321,2011320,2
2011320,,,2
2011321,,,1
2011400,,,1
2011500,,,1
2011600,,,1
2011700,,,1
2011800,,,2
2011900,,,1
2012000,2012099,2012020,1
2012001,2012021,2012020,2
2012002,2012021,2012020,1
2012020,,,2
2012021,,,1
2012099,,,1
2012100,,,2
2012200,2012221,2012220,1
2012201,2012221,2012220,1
2012220,,,2
2012221,,,1
2012300,2012321,2012320,1
2012304,2012321,2012320,2
2012320,,,2
2012321,,,1
2012500,2012521,2012520,1
2012520,,,2
2012521,,,1
2012600,,,2
2012700,2012721,2012720,1
2012701,2012721,2012720,1
2012720,,,2
2012721,,,1
2012760,2012799,2012720,1
2012799,,,1
2012800,,,2
2012900,,,1
2013000,,,1
2013100,,,1
2013200,,,2
2013400,,,2
2013700,2013721,2013720,2
2013720,,,2
2013721,,,1
2013900,,,2
2014000,,,1
2014200,2014221,2014220,2
2014201,2014299,2014220,2
2014220,,,2
2014221,,,1
2014299,,,1
2014300,,,1
2014400,,,1
2014500,,,2
2014700,,,2
2014800,2014821,2014820,1
2014820,,,2
2014821,,,1
2014900,,,1
2015100,2015121,2015120,1
2015120,,,2
2015121,,,1
2015200,,,1
2015300,,,2
2015400,,,1
2015500,2015521,2015520,1
2015501,2015521,2015520,2
2015502,2015521,2015520,2
2015520,,,2
2015521,,,1
2015600,2015621,2015620,1
2015620,,,2
2015621,,,1
2015700,,,2
2015800,,,1
2015900,,,2
2016000,,,1
2016100,,,1
2016200,,,1
2016300,,,1
2016400,,,2
2016500,,,1
2016600,,,1
2016700,,,1
2016800,,,1
2016900,,,1
2017000,,,2
2017100,,,1
2017200,2017221,2017220,2
2017220,,,2
2017221,,,1
2017300,,,1
2017400,,,1
2017500,,,1
2017600,,,1
2017700,,,1
2017800,2017821,2017820,1
2017820,,,2
2017821,,,1
2017860,2017899,2017820,2
2017899,,,1
2017900,,,1
2018000,,,1
2018100,,,1
2018200,,,1
2018300,,,1
2018400,,,2
2018500,,,1
2018600,2018621,2018620,2
2018601,2018621,2018620,1
2018620,,,2
2018621,,,1
2018700,,,1
2018800,2018821,2018820,2
2018820,,,2
2018821,,,1
2018900,2018921,2018920,1
2018920,,,2
2018921,,,1
2018960,2018999,2018920,2
2018999,,,1
2019100,,,1
2019200,,,1
2019400,,,1
2019500,,,2
2019700,2019721,2019720,1
2019702,2019721,2019720,1
2019720,,,2
2019721,,,1
2019900,2019999,2019920,2
2019920,,,2
2019921,,,1
2019960,2019921,2019920,1
2019999,,,1
2020000,,,2
2020100,,,1
2020200,,,1
2020300,,,1
2020500,,,2
2020600,,,1
2020700,2020721,2020720,1
2020720,,,2
2020721,,,1
2020800,,,2
2020900,,,2
2021000,,,1
2021100,,,2
2021200,,,1
2021300,2021321,2021320,1
2021320,,,2
2021321,,,1
2021400,,,1
2021500,,,1
2021600,2021621,2021620,2
2021620,,,2
2021621,,,1
2021700,,,1
2021800,,,2
2021900,,,2
2022000,,,1
2022200,2022221,2022220,1
2022202,2022221,2022220,2
2022220,,,2
2022221,,,1
2022261,2022299,2022220,2
2022299,,,1
2022300,,,1
2022400,,,2
2022500,2022521,2022520,1
2022520,,,2
2022521,,,1
2022561,2022599,2022520,2
2022599,,,1
2022600,,,1
2022700,,,2
2022800,,,1
2022900,,,1
2023000,2023021,2023020,1
2023002,2023021,2023020,1
2023020,,,2
2023021,,,1
2023100,2023121,2023120,1
2023120,,,2
2023121,,,1
2023200,,,1
2023300,,,1
2023400,,,1
2023500,,,2
2023600,,,1
2023700,,,1
2023800,,,1
2023900,,,1
2024000,,,1
2024100,,,1
2024200,2024221,2024220,2
2024202,2024221,2024220,2
2024203,2024221,2024220,2
2024220,,,2
2024221,,,1
2024300,,,2
2024400,,,2
2024500,,,2
2024600,,,1
2024700,,,1
2024800,,,2
2024900,,,2
2025000,,,2
2025100,,,1
2025200,2025221,2025220,1
2025203,2025221,2025220,1
2025220,,,2
2025221,,,1
2025300,,,1
2025400,,,2
2025500,,,1
2025700,,,1
2025800,,,1
2025900,,,2
2026000,,,2
2026100,2026121,2026120,1
2026103,2026199,2026120,1
2026120,,,2
2026121,,,1
2026199,,,1
2026200,,,2
2026400,,,1
2026500,,,2
2026600,,,1
2026700,,,1
2026800,2026821,2026820,1
2026820,,,2
2026821,,,1
2026900,2026921,2026920,1
2026920,,,2
2026921,,,1
2027000,,,2
2027100,,,2
2027200,,,2
2027300,,,1
2027500,,,2
2027600,2027621,2027620,2
2027610,2027621,2027620,2
2027620,,,2
2027621,,,1
2027700,,,2
2027800,2027821,2027820,2
2027820,,,2
2027821,,,1
2027900,,,1
2028100,,,2
2028200,,,1
2028300,,,2
2028400,,,1
2028500,,,2
2028600,,,2
2028700,,,2
2028800,,,2
2028900,2028921,2028920,1
2028920,,,2
2028921,,,1
2029000,,,2
2029100,,,1
2029200,,,1
2029300,,,2
2029400,,,2
2029500,,,2
2029600,,,1
2029700,,,1
2029800,,,1
2029900,2029921,2029920,1
2029920,,,2
2029921,,,1
2030000,,,2
2030100,,,1
2030200,,,1
2030300,,,1
2030400,,,1
2030500,,,1
2030600,,,1
2030800,,,2
2030900,,,2
2031000,,,1
2031100,,,2
2031200,,,1
2031300,2031321,2031320,1
2031320,,,2
2031321,,,1
2031366,2031399,2031320,2
2031399,,,1
2031400,,,2
2031500,,,1
2031600,,,1
2031700,,,1
2031800,,,2
2031900,,,1
2032000,,,2
2032100,,,1
2032200,,,1
2032300,,,2
2032400,2032421,2032420,1
2032401,2032421,2032420,2
2032420,,,2
2032421,,,1
2032500,2032521,2032520,2
2032501,2032521,2032520,2
2032520,,,2
2032521,,,1
2032600,,,2
2032700,,,1
2032800,,,1
2032900,,,2
2033000,,,2
2033100,,,2
2033200,,,2
2033300,,,1
2033400,,,1
2033500,,,2
2033700,,,1
2033800,2033821,2033820,2
2033820,,,2
2033821,,,1
2033860,2033899,2033820,2
2033899,,,1
2033900,,,2
2034000,,,1
2034100,,,1
2034200,,,2
2034300,,,1
2034400,2034421,2034420,2
2034420,,,2
2034421,,,1
2034461,2034499,2034420,2
2034499,,,1
2034500,2034521,2034520,2
2034520,,,2
2034521,,,1
2034600,,,1
2034900,,,1
2035000,,,2
2035100,,,1
2035200,,,2
2035300,,,1
2035400,,,1
2035500,,,1
2035600,,,2
2035700,,,2
2035800,,,1
2035900,2035921,2035920,1
2035920,,,2
2035921,,,1
2036000,,,2
2036100,,,1
2036200,,,2
2036300,,,2
2036400,2036421,2036420,2
2036420,,,2
2036421,,,1
